,Under 13,14-19,20-24,25-29,30-34,35-39,40+
Anime,0.5428571428571428,0.6414273281114012,0.6457204767063922,0.6602564102564102,0.7011494252873564,0.7142857142857143,0.7142857142857143
Music,0.6857142857142857,0.6657963446475196,0.6695557963163596,0.6057692307692307,0.6666666666666666,0.7142857142857143,0.8571428571428571
Lives,0.3142857142857143,0.329852045256745,0.37594799566630555,0.42628205128205127,0.42528735632183906,0.5238095238095238,0.2857142857142857
Seiyuu,0.08571428571428572,0.31157528285465624,0.37378114842903576,0.38782051282051283,0.3563218390804598,0.6190476190476191,0.2857142857142857
Livestreams,0.17142857142857143,0.19756309834638816,0.26977248104008666,0.2916666666666667,0.21839080459770116,0.2857142857142857,0.14285714285714285
Story/Universe,0.5142857142857142,0.5004351610095735,0.4799566630552546,0.4326923076923077,0.4827586206896552,0.5238095238095238,0.2857142857142857
TV Programs,0.22857142857142856,0.19408181026979981,0.24485373781148428,0.27564102564102566,0.25287356321839083,0.38095238095238093,0.14285714285714285
Merchandise,0.14285714285714285,0.18798955613577023,0.25568797399783316,0.23397435897435898,0.28735632183908044,0.3333333333333333,0.14285714285714285
Game,0.9428571428571428,0.9138381201044387,0.8992416034669556,0.8942307692307693,0.8735632183908046,0.8095238095238095,0.8571428571428571
Weiss Schwarz,0.05714285714285714,0.038294168842471714,0.023835319609967497,0.04807692307692308,0.06896551724137931,0.047619047619047616,0.0
Radios,0.14285714285714285,0.14273281114012185,0.17009750812567714,0.1794871794871795,0.16091954022988506,0.19047619047619047,0.0
Manga,0.14285714285714285,0.11488250652741515,0.09642470205850487,0.07051282051282051,0.06896551724137931,0.0,0.0
Other,0.05714285714285714,0.0278503046127067,0.01950162513542795,0.016025641025641024,0.011494252873563218,0.0,0.0
