Where are you from?,14-19,20-24,25-29,30-34,35-39,40+,Under 13
Africa,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Central America,0.42105263157894735,0.3684210526315789,0.15789473684210525,0.0,0.0,0.0,0.05263157894736842
East Asia,0.3,0.43333333333333335,0.13333333333333333,0.1,0.03333333333333333,0.0,0.0
Europe,0.42795698924731185,0.3720430107526882,0.14623655913978495,0.02795698924731183,0.015053763440860216,0.0,0.010752688172043012
Middle East,0.631578947368421,0.21052631578947367,0.15789473684210525,0.0,0.0,0.0,0.0
North America,0.45325779036827196,0.336166194523135,0.13786591123701605,0.0453257790368272,0.0056657223796034,0.0056657223796034,0.016052880075542966
North/Central Asia,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285
Oceania,0.449438202247191,0.38202247191011235,0.12359550561797752,0.011235955056179775,0.02247191011235955,0.011235955056179775,0.0
Other,0.75,0.25,0.0,0.0,0.0,0.0,0.0
South America,0.3560606060606061,0.4772727272727273,0.12878787878787878,0.030303030303030304,0.007575757575757576,0.0,0.0
South Asia,0.8421052631578947,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0
Southeast Asia,0.47653958944281527,0.39002932551319647,0.08651026392961877,0.024926686217008796,0.005865102639296188,0.0,0.016129032258064516
