Where are you from?,Female,Male,Other
Africa,0.0,1.0,0.0
Central America,0.47368421052631576,0.42105263157894735,0.10526315789473684
East Asia,0.3,0.7,0.0
Europe,0.5253863134657837,0.40397350993377484,0.0706401766004415
Middle East,0.5789473684210527,0.2631578947368421,0.15789473684210525
North America,0.4547187797902765,0.4699714013346044,0.07530981887511916
North/Central Asia,0.25,0.625,0.125
Oceania,0.37209302325581395,0.5930232558139535,0.03488372093023256
Other,0.6363636363636364,0.36363636363636365,0.0
South America,0.2692307692307692,0.7,0.03076923076923077
South Asia,0.5789473684210527,0.42105263157894735,0.0
Southeast Asia,0.30864197530864196,0.6651234567901234,0.026234567901234566
