,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequent_len,rule_len
48,frozenset({'Oceania'}),frozenset({'Pastel*Palettes'}),0.035115099492781895,0.3031603589543504,0.013655872024970737,0.3888888888888889,1.2827827827827827,0.0030103658580212505,1.1402830489837903,1,1,2
14,"frozenset({""Poppin'Party""})",frozenset({'Southeast Asia'}),0.30472103004291845,0.2692157627779945,0.09520093640265315,0.3124199743918054,1.1604817309655033,0.013165231865152671,1.0628351755500678,1,1,2
13,frozenset({'Southeast Asia'}),"frozenset({""Poppin'Party""})",0.2692157627779945,0.30472103004291845,0.09520093640265315,0.35362318840579715,1.1604817309655033,0.013165231865152671,1.0756558055389829,1,1,2
43,frozenset({'South America'}),frozenset({'Afterglow'}),0.05150214592274678,0.34373780725712055,0.020288724151385096,0.393939393939394,1.1460461596670453,0.002585489442863867,1.0828326180257513,1,1,2
6,frozenset({'Southeast Asia'}),frozenset({'Roselia'}),0.2692157627779945,0.48029652750682794,0.14124073351541164,0.5246376811594203,1.092320371089841,0.011937337503038936,1.0932786464033193,1,1,2
17,frozenset({'Europe'}),"frozenset({'Hello, Happy World!'})",0.18181818181818182,0.3464689816621147,0.06827936012485368,0.3755364806866952,1.0838963963963961,0.005284999822651001,1.0465479537644484,1,1,2
3,"frozenset({'Hello, Happy World!'})",frozenset({'North America'}),0.3464689816621147,0.4194303550526727,0.15645727662895045,0.45157657657657657,1.0766425728053635,0.011137668635671755,1.0586156975630938,1,1,2
2,frozenset({'North America'}),"frozenset({'Hello, Happy World!'})",0.4194303550526727,0.3464689816621147,0.15645727662895045,0.37302325581395346,1.0766425728053635,0.011137668635671755,1.0423528853311967,1,1,2
34,frozenset({'South America'}),frozenset({'Roselia'}),0.05150214592274678,0.48029652750682794,0.026531408505657432,0.5151515151515151,1.0725697265096128,0.0017951066598122165,1.0718884120171674,1,1,2
5,frozenset({'Afterglow'}),frozenset({'North America'}),0.34373780725712055,0.4194303550526727,0.1533359344518143,0.4460839954597049,1.0635472375471848,0.00916186390893306,1.0481185598331872,1,1,2
4,frozenset({'North America'}),frozenset({'Afterglow'}),0.4194303550526727,0.34373780725712055,0.1533359344518143,0.3655813953488372,1.0635472375471848,0.00916186390893306,1.0344308756577645,1,1,2
49,frozenset({'Oceania'}),"frozenset({'Hello, Happy World!'})",0.035115099492781895,0.3464689816621147,0.012485368708544674,0.35555555555555557,1.0262262262262263,0.0003190759463166902,1.0140998560415462,1,1,2
7,frozenset({'Pastel*Palettes'}),frozenset({'North America'}),0.3031603589543504,0.4194303550526727,0.129145532579009,0.425997425997426,1.0156571189129329,0.0019908755848901116,1.0114408388432137,1,1,2
8,frozenset({'North America'}),frozenset({'Pastel*Palettes'}),0.4194303550526727,0.3031603589543504,0.129145532579009,0.30790697674418605,1.0156571189129329,0.0019908755848901116,1.006858352317303,1,1,2
19,frozenset({'Europe'}),frozenset({'Pastel*Palettes'}),0.18181818181818182,0.3031603589543504,0.05540382364416699,0.30472103004291845,1.005148005148005,0.0002837583797396445,1.0022446689113356,1,1,2
50,frozenset({'Oceania'}),frozenset({'Afterglow'}),0.035115099492781895,0.34373780725712055,0.012095200936402654,0.34444444444444444,1.0020557447345189,2.4813635138178428e-05,1.001077921133206,1,1,2
18,frozenset({'Europe'}),frozenset({'Afterglow'}),0.18181818181818182,0.34373780725712055,0.06164650799843933,0.3390557939914163,0.9863791146424516,-0.0008512751392189544,0.9929161747343566,1,1,2
0,frozenset({'North America'}),frozenset({'Roselia'}),0.4194303550526727,0.48029652750682794,0.19586422161529457,0.46697674418604646,0.9722675835490147,-0.00558672144746003,0.975010877714066,1,1,2
1,frozenset({'Roselia'}),frozenset({'North America'}),0.48029652750682794,0.4194303550526727,0.19586422161529457,0.4077985377741673,0.9722675835490147,-0.00558672144746003,0.9803583442114676,1,1,2
46,frozenset({'South America'}),"frozenset({'Hello, Happy World!'})",0.05150214592274678,0.3464689816621147,0.017167381974248927,0.3333333333333333,0.962087087087087,-0.0006765140770187833,0.9802965275068278,1,1,2
16,frozenset({'Europe'}),frozenset({'Roselia'}),0.18181818181818182,0.48029652750682794,0.08388607101053452,0.46137339055793986,0.9606011372867586,-0.003440570354343281,0.9648678015211878,1,1,2
9,"frozenset({""Poppin'Party""})",frozenset({'North America'}),0.30472103004291845,0.4194303550526727,0.11900117050331642,0.3905249679897567,0.9310841794955781,-0.008808079319600995,0.9525733039997113,1,1,2
40,frozenset({'RAISE A SUILEN'}),frozenset({'North America'}),0.06203667577058135,0.4194303550526727,0.023800234100663287,0.3836477987421384,0.9146877285359075,-0.002219830844079184,0.9419446280267862,1,1,2
15,frozenset({'Southeast Asia'}),frozenset({'Afterglow'}),0.2692157627779945,0.34373780725712055,0.08427623878267655,0.3130434782608696,0.9107042392538125,-0.008263397193684421,0.9553183818409005,1,1,2
47,frozenset({'Oceania'}),frozenset({'Roselia'}),0.035115099492781895,0.48029652750682794,0.013655872024970737,0.3888888888888889,0.8096849896200018,-0.0032097883244691823,0.850423864079736,1,1,2
