,Male,Female,Other
Anime,0.7002305918524212,0.6042677012609118,0.5319148936170213
Music,0.6771714066102997,0.6566440349175557,0.5886524822695035
Lives,0.4089162182936203,0.3229873908826382,0.24822695035460993
Seiyuu,0.4027671022290546,0.2938894277400582,0.19858156028368795
Livestreams,0.2851652574942352,0.1901066925315228,0.1276595744680851
Story/Universe,0.4727132974634896,0.495635305528613,0.46099290780141844
TV Programs,0.29515757109915447,0.15809893307468478,0.11347517730496454
Merchandise,0.22674865488086088,0.2192046556741028,0.24113475177304963
Game,0.9062259800153728,0.906886517943744,0.8936170212765957
Weiss Schwarz,0.043812451960030745,0.026188166828322017,0.028368794326241134
Radios,0.19907763259031513,0.11639185257032007,0.07801418439716312
Manga,0.11299000768639508,0.0921435499515034,0.0425531914893617
Other,0.01614142966948501,0.026188166828322017,0.0425531914893617
