,North America,Southeast Asia,Europe,South America,Oceania,East Asia,South Asia,Middle East,Central America,Other,North/Central Asia,Africa
Thumbs,0.7235462345090562,0.8026509572901326,0.6592427616926503,0.703125,0.6941176470588235,0.6206896551724138,0.5555555555555556,0.631578947368421,0.7368421052631579,0.6923076923076923,0.5,1.0
Index Fingers,0.3651096282173499,0.35640648011782033,0.3986636971046771,0.3515625,0.32941176470588235,0.3793103448275862,0.5,0.5263157894736842,0.21052631578947367,0.38461538461538464,0.5,0.0
Multiple Fingers,0.07340324118207817,0.08100147275405008,0.06904231625835189,0.0234375,0.08235294117647059,0.13793103448275862,0.2222222222222222,0.2631578947368421,0.15789473684210525,0.0,0.375,0.0
Non-Index Fingers,0.03336510962821735,0.023564064801178203,0.0200445434298441,0.0078125,0.011764705882352941,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0
Stylus,0.01334604385128694,0.013254786450662739,0.008908685968819599,0.0078125,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0
Other,0.0038131553860819827,0.008836524300441826,0.004454342984409799,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
Keyboard,0.0019065776930409914,0.007363770250368188,0.0022271714922048997,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
